Carimbo de data/hora; VOCÊ ACEITARIA PARTICIPAR DA NOSSA PESQUISA ?;Idade;POSSUI ALGUMA DEFICIÊNCIA?;Reside em Coari?;Se a resposta for não, especificar cidade:;VOCÊ SE AUTODECLARA ; RENDA FAMILIAR MENSAL (A SOMA DE TODAS AS PESSOAS QUE RECEBEM E MORAM COM VOCÊ);QUANTAS PESSOAS, INCLUINDO VOCÊ, VIVEM DA RENDA MENSAL DE SUA FAMILÍA?;NÍVEL DE ESCOLARIDADE;QUAL A NATUREZA DA INSTITUIÇÃO EM QUE VOCÊ CURSOU O ENSINO FUNDAMENTAL E MÉDIO?;VOCÊ TEM INTERESSE EM CURSAR LICENCIATURA EM PEDAGOGIA? POR QUÊ?;SE A RESPOSTA ANTERIOR FOR SIM, QUAL O TURNO;VOCÊ TERIA INTERESSE EM OUTRO CURSO? QUAL?;COMO VOCÊ AVALIA A IMPLEMENTAÇÃO DO CURSO DE LICENCIATURA EM PEDAGOGIA NO ISB?;AS UNIVERSIDADES PARTICULARES OFERTAM CURSO DE PEDAGOGIA, O QUE TE IMPEDIU DE CURSAR?
3/10/2025 19:39:22;Sim;entre 25 e 30 anos;Não;Sim;;Parda;Menos de 02 salários-mínimos;3 pessoas;Superior incompleto;Todas em instituição pública;Sim, pois é uma área que auxilia na formação de outras profissões, além de ter pouca oportunidade no município de coari;Noturno;Educação Física ;Muito importante;A questão financeira, por não poder arcar com as mensalidades 
3/10/2025 20:10:55;Sim;entre 25 e 30 anos;Não;Sim;;Parda;Menos de 02 salários-mínimos;3 pessoas;Médio completo;Todas em instituição pública;E uma área muito boa, e tenho vontade de cursar pedagogia pois tem como contribuir a melhoraria de educação de mais cidadoes ;Noturno;;Muito importante;Não tenho o valor pra pagar uma mensalidade 
3/10/2025 20:24:10;Sim;mais de 40 anos;Não;Sim;;Parda;02 a 04 salários-mínimos;3 pessoas;Superior completo;Parte em instituição pública e parte privada;Não. Mas, penso que seria importante para aqueles que querem oportunidade de adquirir conhecimento e crescimento pessoal e profissional.;;Direito ;Muito importante;Cursei Letras.
3/10/2025 21:54:13;Sim;entre 31 e 40 anos;Não;Sim;;Parda;06 a 08 salários-mínimos;2 pessoas;Doutorado;Todas em instituição privada;Não ;;;Pouco relevante;
3/11/2025 10:35:35;Sim;entre 31 e 40 anos;Não;Não;Manaus;Parda;02 a 04 salários-mínimos;5 pessoas;Médio completo;Todas em instituição pública;Sim, mais oportunidades de emprego ;Noturno;Tecnologia da informação ;Muito importante;Valor caro 
3/11/2025 12:42:29;Sim;entre 15 e 24 anos;Não;Sim;;Parda;Menos de 02 salários-mínimos;4 pessoas;Médio completo;Todas em instituição pública;Não. Por não ser minha área de interesse.;;;Muito importante;
3/11/2025 13:57:12;Sim;entre 15 e 24 anos;Não;Sim;;Indígena;Menos de 02 salários-mínimos;2 pessoas;Médio completo;Parte em instituição pública e parte privada;Sim, a área da educação é uma área que eu me identifico e gostaria de seguir.;Noturno;;Muito importante;O aumento de 5% à 10% nas mensalidades até o final do curso, é muito difícil manter os estudos tendo pouca renda
3/12/2025 12:07:57;Sim;entre 31 e 40 anos;Não;Sim;;Parda;02 a 04 salários-mínimos;4 pessoas;Mestrado;Todas em instituição pública;Sim;Noturno;Engenharia ;Muito importante;Não 
3/12/2025 13:58:53;Sim;mais de 40 anos;Não;Sim;Coari Amazonas ;Parda;02 a 04 salários-mínimos;4 pessoas;Superior completo;Parte em instituição pública e parte privada;Sim;Diurno;Lingua Inglesa ;Muito importante;Sim
3/12/2025 14:24:30;Sim;entre 31 e 40 anos;Não;Sim;;Parda;Menos de 02 salários-mínimos;1 pessoa;Superior completo;Todas em instituição pública;Sim;Noturno;Sim, letras ;Muito importante;
